2024-01-30 17:23:25.557 INFO  [main] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8089"]
2024-01-30 17:23:25.573 INFO  [main] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port 8089 (http) with context path '/dalbang'
2024-01-30 17:23:25.585 INFO  [main] [com.jwtpractice.JwtpracticeApplication] - Started JwtpracticeApplication in 4.361 seconds (process running for 5.563)
2024-01-30 17:26:09.456 INFO  [http-nio-8089-exec-1] [o.a.c.c.C.[.[localhost].[/dalbang]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-30 17:26:09.458 INFO  [http-nio-8089-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2024-01-30 17:26:09.465 INFO  [http-nio-8089-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 6 ms
2024-01-30 17:27:02.854 INFO  [http-nio-8089-exec-3] [c.j.global.security.jwt.JwtTokenProvider] - token provider exp: 1706606822854
2024-01-30 17:27:02.876 INFO  [http-nio-8089-exec-3] [c.j.d.member.member.service.AuthService] - 유효하지 않을 때
2024-01-30 17:27:02.877 INFO  [http-nio-8089-exec-3] [c.j.global.security.jwt.JwtTokenProvider] - 리프레시 토큰 생성하는 곳
2024-01-30 17:28:33.605 WARN  [http-nio-8089-exec-6] [o.s.w.s.m.s.DefaultHandlerExceptionResolver] - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('"' (code 34)): was expecting comma to separate Object entries]
2024-01-30 17:29:27.776 INFO  [http-nio-8089-exec-9] [c.j.global.security.jwt.JwtTokenProvider] - token provider exp: 1706606967776
2024-01-30 17:29:27.781 INFO  [http-nio-8089-exec-9] [c.j.d.member.member.service.AuthService] - 유효하지 않을 때
2024-01-30 17:29:27.782 INFO  [http-nio-8089-exec-9] [c.j.global.security.jwt.JwtTokenProvider] - 리프레시 토큰 생성하는 곳
2024-01-30 17:34:40.008 INFO  [SpringApplicationShutdownHook] [o.s.o.j.LocalContainerEntityManagerFactoryBean] - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-01-30 17:34:40.012 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2024-01-30 17:34:40.019 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
